id,category,product,variety_grade,retail_unit,retail_size_weight,wholesale_unit,wholesale_size_weight,unit_source,status
MP-0001,Leafy Vegetables,Soko (Nigerian Spinach),,Small bundle,,Big bundle,,Template,Active
MP-0002,Leafy Vegetables,Tete (Amaranth Green),,Small bundle,,Big bundle,,Template,Active
MP-0003,Leafy Vegetables,Ewuro (Bitter Leaf),,Small bundle,,Big bundle,,Template,Active
MP-0004,Leafy Vegetables,Water Leaf,,Small bundle,,Big bundle,,Template,Active
MP-0005,Leafy Vegetables,Scent Leaf (Basil),,Small bundle,,Big bundle,,Template,Active
MP-0006,Leafy Vegetables,Ugwu Leaf (Fluted Pumpkin),,Small bundle,,Big bundle,,Template,Active
MP-0007,Leafy Vegetables,Uziza Leaf (Piper Guineense),,Small bundle,,Big bundle,,Template,Active
MP-0008,Leafy Vegetables,Okazi Leaf (Wild Spinach),,Small bundle,,Big bundle,,Template,Active
MP-0009,Leafy Vegetables,Ewedu,,Small bundle,,Big bundle,,Template,Active
MP-0010,Leafy Vegetables,Atama Leaves,,Small bundle,,Big bundle,,Template,Active
MP-0011,Leafy Vegetables,Editan Leaf,,Small bundle,,Big bundle,,Template,Active
MP-0012,Leafy Vegetables,Kale,,Small bundle,,Big bundle,,Template,Active
MP-0013,Leafy Vegetables,Coriander Leaf,,Small bundle,,Big bundle,,Template,Active
MP-0014,Leafy Vegetables,Celery Leaf,,Small bundle,,Big bundle,,Template,Active
MP-0015,Peppers,Rodo (Scotch Bonnet),,Paint bucket,,Big basket,,Template,Active
MP-0016,Peppers,Tatase (Bell Pepper),,Paint bucket,,Big basket,,Template,Active
MP-0017,Peppers,Shombo (Cayenne Pepper),,Paint bucket,,Big basket,,Template,Active
MP-0018,Peppers,Tomato (Hausa/Yoruba),,Paint bucket,,Big basket,,Template,Active
MP-0019,Peppers,Green Pepper (Bell),,Paint bucket,,Big basket,,Template,Active
MP-0020,Peppers,Yellow/Red Pepper,,Paint bucket,,Big basket,,Template,Active
MP-0021,Peppers,Peppercorn,,Paint bucket,,Big basket,,Template,Active
MP-0022,Peppers,Alligator Pepper,,Paint bucket,,Big basket,,Template,Active
MP-0023,Peppers,Chilli Pepper Green (Habanero),,Paint bucket,,Big basket,,Template,Active
MP-0024,Peppers,Chilli Pepper Red (Habanero),,Paint bucket,,Big basket,,Template,Active
MP-0025,Vegetables,Leek,,Paint bucket,,Big basket,,Template,Active
MP-0026,Vegetables,Lemon Grass,,Paint bucket,,Big basket,,Template,Active
MP-0027,Vegetables,Carrot,,Paint bucket,,Big basket,,Template,Active
MP-0028,Vegetables,Okro,,Paint bucket,,Big basket,,Template,Active
MP-0029,Vegetables,Cabbage Green,,Paint bucket,,Big basket,,Template,Active
MP-0030,Vegetables,Cabbage Red,,Paint bucket,,Big basket,,Template,Active
MP-0031,Vegetables,Lettuce,,Paint bucket,,Big basket,,Template,Active
MP-0032,Vegetables,Cauliflower,,Paint bucket,,Big basket,,Template,Active
MP-0033,Vegetables,Garden Egg Green,,Paint bucket,,Big basket,,Template,Active
MP-0034,Vegetables,Garden Egg White,,Paint bucket,,Big basket,,Template,Active
MP-0035,Vegetables,Watercress,,Paint bucket,,Big basket,,Template,Active
MP-0036,Vegetables,Spring Onion,,Paint bucket,,Big basket,,Template,Active
MP-0037,Vegetables,Broccoli,,Paint bucket,,Big basket,,Template,Active
MP-0038,Tubers,Beetroot,,Paint bucket,,Sack,,Template,Active
MP-0039,Tubers,Cocoyam,,Paint bucket,,Sack,,Template,Active
MP-0040,Tubers,Sweet Potatoes,,Paint bucket,,Sack,,Template,Active
MP-0041,Tubers,Irish Potatoes,,Paint bucket,,Sack,,Template,Active
MP-0042,Tubers,Cassava,,Paint bucket,,Sack,,Template,Active
MP-0043,Tubers,Old Yam,,Single tuber (medium),,Bundle of 100 tubers,,Proposed - confirm,Active
MP-0044,Tubers,New Yam,,Single tuber (medium),,Bundle of 100 tubers,,Proposed - confirm,Active
MP-0045,Tubers,Water Yam,,Single tuber (medium),,Bundle of 100 tubers,,Proposed - confirm,Active
MP-0046,Grains,Maize Yellow,,Paint bucket,,Sack,,Template,Active
MP-0047,Grains,Maize White,,Paint bucket,,Sack,,Template,Active
MP-0048,Grains,Wheat Local,,Paint bucket,,Sack,,Template,Active
MP-0049,Grains,Wheat Imported,,Paint bucket,,Sack,,Template,Active
MP-0050,Grains,Rice Short Grain,,Paint bucket,,Sack,,Template,Active
MP-0051,Grains,Rice Long Grain,,Paint bucket,,Sack,,Template,Active
MP-0052,Grains,Ofada Rice,,Paint bucket,,Sack,,Template,Active
MP-0053,Grains,Millet,,Paint bucket,,Sack,,Template,Active
MP-0054,Grains,Guinea Corn White (Sorghum),,Paint bucket,,Sack,,Template,Active
MP-0055,Grains,Guinea Corn Red (Sorghum),,Paint bucket,,Sack,,Template,Active
MP-0056,Grains,Barley,,Paint bucket,,Sack,,Template,Active
MP-0057,Grains,Oats,,Paint bucket,,Sack,,Template,Active
MP-0058,Grains,Quinoa,,Paint bucket,,Sack,,Template,Active
MP-0059,Fruits,Watermelon,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0060,Fruits,Pineapple Local,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0061,Fruits,Pineapple Cotonou,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0062,Fruits,Coconut,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0063,Fruits,Golden Melon,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0064,Fruits,Pawpaw,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0065,Fruits,Sugarcane,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0066,Fruits,Kiwano Horned Melon,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0067,Fruits,Bread Fruit,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0068,Fruits,Custard Apple/Soursop,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0069,Fruits,Cocoa Fruit,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0070,Fruits,Plum,,Single (medium),,Big basket,,Proposed - confirm,Active
MP-0071,Fruits,Kiwi,,Plate,,Big basket,,Template,Active
MP-0072,Fruits,Plantain Ripe,,Plate,,Big basket,,Template,Active
MP-0073,Fruits,Plantain Unripe,,Plate,,Big basket,,Template,Active
MP-0074,Fruits,African Pear,,Plate,,Big basket,,Template,Active
MP-0075,Fruits,Cucumber,,Plate,,Big basket,,Template,Active
MP-0076,Fruits,Avocado Unripe,,Plate,,Big basket,,Template,Active
MP-0077,Fruits,Avocado Ripe,,Plate,,Big basket,,Template,Active
MP-0078,Fruits,Eggplant,,Plate,,Big basket,,Template,Active
MP-0079,Fruits,Guava,,Plate,,Big basket,,Template,Active
MP-0080,Fruits,Tamarind,,Plate,,Big basket,,Template,Active
MP-0081,Fruits,Star Fruit,,Plate,,Big basket,,Template,Active
MP-0082,Fruits,Dragon Fruit,,Plate,,Big basket,,Template,Active
MP-0083,Fruits,Tigernut,,Plate,,Big basket,,Template,Active
MP-0084,Fruits,Oranges,,Plate,,Big basket,,Template,Active
MP-0085,Fruits,Grape,,Plate,,Big basket,,Template,Active
MP-0086,Fruits,Passion Fruit,,Plate,,Big basket,,Template,Active
MP-0087,Fruits,Tangerine Local,,Plate,,Big basket,,Template,Active
MP-0088,Fruits,Tangelo Imported,,Plate,,Big basket,,Template,Active
MP-0089,Fruits,Lemon,,Plate,,Big basket,,Template,Active
MP-0090,Fruits,Limes,,Plate,,Big basket,,Template,Active
MP-0091,Fruits,Strawberry,,Plate,,Big basket,,Template,Active
MP-0092,Fruits,Raspberry,,Plate,,Big basket,,Template,Active
MP-0093,Fruits,Blackberry,,Plate,,Big basket,,Template,Active
MP-0094,Fruits,Dates,,Plate,,Big basket,,Template,Active
MP-0095,Fruits,Agbalumo,,Plate,,Big basket,,Template,Active
MP-0096,Fruits,Banana Local/Native,,Plate,,Big basket,,Template,Active
MP-0097,Fruits,Banana Imported,,Plate,,Big basket,,Template,Active
MP-0098,Fruits,Mango Sheri,,Plate,,Big basket,,Template,Active
MP-0099,Fruits,Mango Julie,,Plate,,Big basket,,Template,Active
MP-0100,Fruits,Apricot,,Plate,,Big basket,,Template,Active
MP-0101,Fruits,Peaches,,Plate,,Big basket,,Template,Active
MP-0102,Fruits,Apple Green,,Plate,,Big basket,,Template,Active
MP-0103,Fruits,Apple Red,,Plate,,Big basket,,Template,Active
MP-0104,Fruits,Pomegranate,,Plate,,Big basket,,Template,Active
